,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
period[0],6.2629999999999999,0.0220000000000000,6.2229999999999999,6.3049999999999997,0.0000000000000000,0.0000000000000000,4133.0000000000000000,4133.0000000000000000,4146.0000000000000000,3101.0000000000000000,1.0000000000000000
t0[0],1325.5139999999998963,0.1020000000000000,1325.3140000000000782,1325.6939999999999600,0.0020000000000000,0.0010000000000000,3337.0000000000000000,3337.0000000000000000,3337.0000000000000000,2635.0000000000000000,1.0000000000000000
r[0],0.0150000000000000,0.0010000000000000,0.0130000000000000,0.0170000000000000,0.0000000000000000,0.0000000000000000,1323.0000000000000000,1323.0000000000000000,1381.0000000000000000,1110.0000000000000000,1.0000000000000000
b[0],0.6100000000000000,0.0770000000000000,0.4740000000000000,0.7390000000000000,0.0030000000000000,0.0020000000000000,919.0000000000000000,919.0000000000000000,1371.0000000000000000,996.0000000000000000,1.0000000000000000
u[0],0.7480000000000000,0.3390000000000000,0.0840000000000000,1.3089999999999999,0.0070000000000000,0.0050000000000000,2447.0000000000000000,2447.0000000000000000,2394.0000000000000000,1768.0000000000000000,1.0000000000000000
u[1],0.1540000000000000,0.3640000000000000,-0.4750000000000000,0.8670000000000000,0.0070000000000000,0.0060000000000000,2397.0000000000000000,1613.0000000000000000,2308.0000000000000000,1897.0000000000000000,1.0000000000000000
mean,1.0000000000000000,0.0000000000000000,1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,4125.0000000000000000,4117.0000000000000000,4114.0000000000000000,2894.0000000000000000,1.0000000000000000
