,model time,model phase,model,residuals
0,1334.909364789845,-3.1311989150962773,1.0000042808856615,-2.6165640444969287
1,1341.1731417528101,-3.1305498190061414,1.0000042808856615,-1.0421607613462642
2,1328.6469428676312,-3.130492970435263,1.0000042808856615,-1.2215766154590213
3,1334.9107536548843,-3.1298100500570882,1.0000042808856615,1.535939195005682
4,1341.1745306186879,-3.129160953128398,1.0000042808856615,4.177117465034377
5,1328.6483317400682,-3.129104097998244,1.0000042808856615,-4.8357187401184865
6,1334.9121425199235,-3.128421185017899,1.0000042808856615,1.2973618875781858
7,1328.6497206126203,-3.127715225446174,1.0000042808856615,-4.755951699889469
8,1334.913531384963,-3.1270323199782553,1.0000042808856615,-1.0365963752756822
9,1341.1773083503251,-3.126383221491146,1.0000042808856615,-2.8308753704130045
10,1328.6511094850568,-3.1263263530096097,1.0000042808856615,-0.48862607444641254
11,1334.9149202498859,-3.1256434550554815,1.0000042808856615,1.662242160977884
12,1341.1786972160855,-3.1249943557307276,1.0000042808856615,0.1628914467864971
13,1328.6524983576103,-3.1249374804561754,1.0000042808856615,-2.11393683595132
14,1334.9163091149248,-3.1242545900165197,1.0000042808856615,0.9505136425422415
15,1341.1800860819626,-3.1236054898536665,1.0000042808856615,-1.669431692317488
16,1328.653887230046,-3.1235486080205206,1.0000042808856615,-2.2578510432277055
17,1334.9176979799647,-3.1228657249766485,1.0000042808856615,2.0927870636779247
18,1341.1814749478397,-3.1222166239766054,1.0000042808856615,-5.305048989477014
19,1328.6552761024825,-3.1221597355839563,1.0000042808856615,1.898578019528177
20,1334.919086845003,-3.121476859938369,1.0000042808856615,2.6548035199330475
21,1341.1828638136,-3.120827758216187,1.0000042808856615,0.1879856101817431
22,1328.656664975036,-3.120770863030522,1.0000042808856615,-4.263463324498731
23,1334.9204757100422,-3.1200879948991798,1.0000042808856615,-2.3361002703817073
24,1341.1842526794778,-3.1194388923384437,1.0000042808856615,-0.20223213362356546
25,1328.6580538474723,-3.119381990594185,1.0000042808856615,-3.2239509442145247
